x_value,y_value
236,316
230,282
234,290
224,243
229,270
230,255
235,216
176,208
236,193
235,179
237,118
237,321
237,324
239,325
239,327
238,331
238,336
239,342
241,352
231,286
224,284
152,167
204,218
194,219
186,219
174,213
211,216
188,195
199,195
180,196
174,199
168,220
208,368
173,206
150,213
159,213
193,266
224,314
227,324
214,315
208,317
220,323
214,322
199,331
222,281
221,270
161,192
212,238
205,274
206,268
169,263
222,256
180,183
168,186
157,149
218,192
208,198
192,321
166,311
212,280
220,284
201,321
205,321
164,179
206,278
196,185
194,176
186,125
161,163
191,149
157,186
154,177
226,320
217,320
211,320
215,282
203,321
207,324
206,321
215,278
216,321
222,323
230,324
228,352
227,341
228,335
228,330
229,326
215,324
213,325
212,327
210,331
200,305
157,258
233,288
211,323
209,323
223,290
210,284
221,287
203,244
189,251
205,272
168,135
172,153
177,175
207,339
214,178
211,147
208,120
178,217
160,228
215,213
166,202
217,232
209,272
152,234
164,236
175,240
191,238
204,234
213,229
227,219
153,257
160,201
226,286
211,250
153,210
219,224
206,272
171,207
210,264
160,284
215,209
216,259
176,340
181,350
151,258
166,324
152,193
208,378
229,287
204,257
154,215
186,212
194,213
205,326
155,278
226,393
201,377
192,366
236,147
245,396
202,212
209,210
213,210
155,198
207,201
199,198
190,197
182,199
177,202
151,186
180,210
235,298
207,300
211,279
223,299
236,203
187,354
197,366
223,387
173,333
212,206
220,237
243,390
212,386
154,281
221,325
220,327
218,331
218,337
216,346
208,322
206,321
203,319
194,312
164,285
222,225
221,204
216,204
211,320
166,310
226,205
212,357
232,241
225,231
233,229
214,254
241,379
241,365
226,363
192,335
199,280
202,347
179,278
191,291
173,294
223,377
210,259
186,343
198,356
184,322
159,296
175,323
159,303
185,304
216,243
212,277
208,278
214,271
213,197
198,192
185,191
175,193
168,196
166,210
149,235
172,225
181,228
193,228
204,225
212,222
218,219
155,234
209,280
219,247
217,279
223,283
218,280
212,283
224,285
226,286
218,210
222,214
223,216
175,204
171,202
240,243
312,208
242,285
359,162
281,218
292,218
302,218
317,212
273,215
295,193
284,193
306,194
313,198
325,219
280,370
317,205
363,211
339,212
288,265
249,314
249,324
264,315
274,317
260,323
269,322
289,331
238,281
239,270
329,189
268,238
266,274
267,268
321,262
239,256
300,180
317,183
345,144
255,190
275,196
297,321
358,313
259,280
251,284
287,321
283,320
323,175
267,278
280,182
281,173
296,121
333,159
287,146
337,183
348,173
249,320
261,320
271,320
257,282
285,320
279,324
282,320
251,279
268,321
259,323
249,324
254,352
252,341
251,335
250,330
249,326
269,323
270,325
272,327
274,331
282,305
370,257
275,322
277,322
247,290
265,284
249,287
278,243
295,250
270,272
325,130
314,149
304,171
280,340
258,176
263,146
268,118
311,216
337,226
268,213
325,200
260,231
258,272
350,233
328,235
314,239
294,238
279,233
269,229
245,218
348,256
335,199
236,286
266,249
372,208
261,224
272,272
320,206
259,264
367,285
269,209
249,259
329,343
331,354
363,258
343,327
356,190
283,381
236,287
276,257
349,213
300,211
291,212
282,325
348,279
265,395
298,381
313,370
283,211
275,210
271,209
344,196
278,200
287,197
295,196
305,198
310,201
368,182
307,210
271,300
259,279
249,299
313,358
299,370
264,389
346,336
271,206
251,236
282,389
361,282
260,325
261,327
262,332
264,337
268,347
278,321
280,320
283,318
291,312
332,286
252,224
259,203
267,204
276,320
336,312
249,204
274,358
243,231
258,253
258,364
299,337
281,280
288,349
306,278
292,291
317,295
261,378
265,258
308,346
294,359
307,323
346,298
321,325
355,305
302,304
258,243
254,277
263,278
249,271
266,196
282,191
296,189
309,190
319,194
328,209
365,234
319,224
307,227
293,227
280,225
271,222
264,219
372,232
263,280
249,247
246,279
242,283
247,280
261,283
239,285
240,286
265,210
258,213
255,216
314,203
319,201

